ID	Date/Time	Latitude	Longitude	Bathy depth	Speed	Distance	Sal	Temp	F chl	Zone	E. chrysocome	S. magellanicus	Penguins	T. melanophris	T. cauta	T. chlororhynchos	D. exulans	D. dabbenena	Diomedea sp.	D. epomophora	D. sanfordi	D. epomophora_2	Albatrosses	M. giganteus	Macronectes sp.	F. glacialis	D. capense	P. macroptera	P. feae	P. incerta	P. arminjoniana	P. mollis	B. bulwerii	P. aequinoctialis	P. conspicillata	Petrels	Pachyptila sp.	C. diomedea	C. edwardsii	P. gravis	P. griseus	P. puffinus	P. mauretanicus	P. baroli	P. lherminieri	P. assimilis	Shearwaters	O. oceanicus	G. nereis	P. marina	F. grallaria	O. castro	O. leucorhoa	O. castro_2	H. pelagicus	Storm-petrels	P. aethereus	P. lepturus	Tropicbirds	F. aquila	F. magnificens	M. bassanus	S. capensis	S. sula	S. leucogaster	C. skua	C. maccormicki	C. antarctica	S. pomarinus	S. parasiticus	S. longicaudus	Skuas	B. bernicla	G. arctica	P. capensis	P. coronatus	P. carbo	P. magellani	Pelecanoides sp.	P. fulicarius	L. canus	L. melanocephalus	L. argentatus	L. fuscus	L. michahellis	L. dominicanus	L. marinus	L. ridibundus	L. minutus	R. tridactyla	X. sabini	Gulls	S. hirundo	S. arctica	S. dougallii	S. anaethetus	S. fuscata	S. sandvicensis	T. maximus	C. niger	T. bergii	Terns	A. stolidus	U. aalge	A. torda	Alcidae sp.	Seabirds unident	P. catodon	M. novaeangliae	B. physalus	B. borealis	B. acutorostrata	B. brydei	G. melas	G. macrorhynchus	Globicephala sp.	Z. cavirostris	Beaked whale	Whale unident	O. orca	L. australis	L. albirostris	Lagenorhynchus sp.	D. delphis	S. frontalis	S. coeruleoalba	S. clymene	T. truncatus	G. griseus	S. bredanensis	S. longirostris	Dolphins unident	P. phocoena	A. pusillus	C. caretta	C. mydas	D. coriacea	Sea turtles	Manta sp.	Ray	Hammerhead shark	Shark	Mola mola	Event
1	2014-03-09 04:50:00	-33.04966	17.1118	406.0	10.7	9.9082				5	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PS83-track
2	2014-03-09 05:20:00	-32.9908	17.01451	405.0	10.7	9.9082				5	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	1	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PS83-track
3	2014-03-09 05:50:00	-32.9304	16.91424	437.0	10.6	9.8156				5	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PS83-track
4	2014-03-09 06:20:00	-32.86899	16.81255	470.0	10.8	10.0008	35.555	20.7655	0.24	5	0	0	0	8	11	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	0	0	0	5	0	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PS83-track
5	2014-03-09 08:30:00	-32.60402	16.37436	957.0	10.4	9.6304	35.491	20.7693	0.19	5	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	7	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PS83-track
6	2014-03-09 09:00:00	-32.54462	16.27615	946.0	10.4	9.6304	35.4807	20.787	0.2	5	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PS83-track
7	2014-03-09 09:30:00	-32.48497	16.17787	932.0	10.6	9.8156	35.4327	20.7118	0.21	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PS83-track
8	2014-03-09 10:00:00	-32.42574	16.08029	1407.0	10.5	9.723	35.4496	20.8128	0.22	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PS83-track
9	2014-03-09 10:30:00	-32.36697	15.98336	1484.0	10.9	10.0934	35.4058	20.6286	0.21	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PS83-track
10	2014-03-09 11:00:00	-32.30695	15.88469	1523.0	9.9	9.1674	35.4148	20.529	0.22	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PS83-track
