Date/Time	Latitude	Longitude	Whales
2014-03-09 08:30:00	-32.60402	16.37436	28
2014-03-09 11:30:00	-32.24832	15.78811	12
2014-03-16 10:20:00	-10.9949	-6.64012	3
2014-03-19 13:40:00	0.43368	-12.43823	1
2014-03-23 18:05:00	11.02789	-20.99941	8
2014-03-29 07:50:00	24.52181	-19.5231	15
2014-03-29 11:50:00	24.83711	-19.13037	20
2014-03-30 07:20:00	26.23741	-17.13945	8
2014-03-30 07:50:00	26.27619	-17.08402	2
2014-03-30 11:20:00	26.54118	-16.70442	6
2014-03-30 13:20:00	26.61016	-16.60559	37
2014-03-30 15:50:00	26.8123	-16.31524	10
2014-03-30 16:50:00	26.89447	-16.19703	1
2014-03-30 17:20:00	26.93622	-16.13696	1
2014-03-30 17:50:00	26.97792	-16.0769	5
2014-03-30 18:20:00	27.02005	-16.01622	20
2014-03-31 08:50:00	28.36093	-14.71321	25
2014-03-31 18:10:00	29.2268	-14.50649	2
2014-04-01 16:00:00	28.30007	-15.31985	3
2014-04-03 13:25:00	35.07091	-12.91247	5
2014-04-03 13:55:00	35.1078	-12.94924	3
2014-04-03 15:55:00	35.32198	-13.16733	50
2014-04-05 07:10:00	37.66782	-11.98273	2
2014-04-05 07:40:00	37.74678	-11.9545	5
2014-04-05 08:10:00	37.82556	-11.92025	10
2014-04-05 09:40:00	38.06393	-11.81664	2
2014-04-05 14:50:00	38.69741	-11.53979	1
2014-04-05 17:20:00	38.97556	-11.41566	5
2014-04-05 18:20:00	39.09769	-11.36338	8
2014-04-07 13:30:00	44.7987	-6.88343	2
2014-04-07 15:30:00	45.02945	-6.36992	2
2014-04-09 14:50:00	46.76647	-8.16371	4
2014-04-09 18:20:00	47.29312	-7.37626	2
2014-04-11 14:30:00	51.15948	1.74274	1
2014-04-11 16:00:00	51.29687	1.96481	4
