Date/Time	Latitude	Longitude	Depth water	C5H8	Event
2015-05-20 12:00:00	57.225	5.584	6	7.429	PS92-track
2015-05-20 12:03:00	57.23	5.581	6	5.153	PS92-track
2015-05-20 12:05:00	57.236	5.578	6	3.701	PS92-track
2015-05-20 12:07:00	57.237	5.577	6	5.188	PS92-track
2015-05-20 12:09:00	57.24	5.576	6	4.019	PS92-track
2015-05-20 12:11:00	57.239	5.576	6	4.469	PS92-track
2015-05-20 12:13:00	57.235	5.579	6	4.349	PS92-track
2015-05-20 12:15:00	57.23	5.581	6	4.414	PS92-track
2015-05-20 12:18:00	57.224	5.585	6	4.247	PS92-track
2015-05-20 12:20:00	57.218	5.589	6	4.713	PS92-track
2015-05-20 12:22:00	57.212	5.592	6	4.943	PS92-track
2015-05-20 12:24:00	57.209	5.594	6	4.778	PS92-track
2015-05-20 12:26:00	57.212	5.592	6	4.806	PS92-track
2015-05-20 12:28:00	57.217	5.589	6	4.388	PS92-track
2015-05-20 12:30:00	57.223	5.585	6	3.779	PS92-track
2015-05-20 12:32:00	57.228	5.582	6	4.39	PS92-track
2015-05-20 12:35:00	57.234	5.579	6	5.982	PS92-track
2015-05-20 12:37:00	57.239	5.576	6	3.955	PS92-track
2015-05-20 12:39:00	57.245	5.572	6	4.578	PS92-track
2015-05-20 12:41:00	57.25	5.569	6	3.467	PS92-track
2015-05-20 12:43:00	57.256	5.564	6	4.135	PS92-track
2015-05-20 12:45:00	57.261	5.56	6	3.911	PS92-track
2015-05-20 12:47:00	57.266	5.556	6	4.208	PS92-track
2015-05-20 12:50:00	57.272	5.551	6	4.04	PS92-track
2015-05-20 12:52:00	57.277	5.547	6	4.885	PS92-track
2015-05-20 12:54:00	57.283	5.543	6	3.826	PS92-track
2015-05-20 12:56:00	57.289	5.538	6	3.219	PS92-track
2015-05-20 12:58:00	57.294	5.535	6	3.934	PS92-track
2015-05-20 13:00:00	57.3	5.53	6	4.192	PS92-track
2015-05-20 13:02:00	57.305	5.526	6	4.243	PS92-track
2015-05-20 13:05:00	57.311	5.521	6	4.005	PS92-track
2015-05-20 13:07:00	57.316	5.517	6	4.408	PS92-track
2015-05-20 13:09:00	57.321	5.511	6	4.486	PS92-track
2015-05-20 13:11:00	57.326	5.504	6	4.28	PS92-track
2015-05-20 13:13:00	57.331	5.499	6	4.003	PS92-track
2015-05-20 13:15:00	57.337	5.492	6	4.53	PS92-track
2015-05-20 13:17:00	57.341	5.485	6	4.849	PS92-track
2015-05-20 13:20:00	57.346	5.477	6	4.153	PS92-track
