URI	score	html	type	position	dataset title	abstract	publication date	collection members	isCollection	first author fullname	all authors fullnames	all authors orcids	citation	dataset DOI	mean latitude	mean longitude	campaign	parameters	device
doi:10.1594/PANGAEA.972617	85.90522	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.972617"" target=""_self"" class=""dataset-link""><strong>Metfies, K (2024):</strong> Master track of POLARSTERN cruise PS143/2 in 1 sec resolution (zipped, 92 MB)</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Raw data acquired by position sensors on board RV Polarstern during expedition PS143/2 was processed to receive a validated master track which can be used as reference of further expedition data. During PS143/2 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.</td></tr><tr><td class=""title"">Size:</td><td class=""content"">91.5 MBytes</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.972617"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.972617</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 85.91</span></div></li>"	member	0	Master track of POLARSTERN cruise PS143/2 in 1 sec resolution (zipped, 92 MB)	Raw data acquired by position sensors on board RV Polarstern during expedition PS143/2 was processed to receive a validated master track which can be used as reference of further expedition data. During PS143/2 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.	2024-09-19T07:38:40		No	Metfies, Katja	Metfies, Katja	no ORCID	Metfies, Katja (2024): Master track of POLARSTERN cruise PS143/2 in 1 sec resolution (zipped, 92 MB) [dataset]. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.972617	https://doi.org/10.1594/PANGAEA.972617	69.678	18.9898	PS143/2		Underway cruise track measurements
doi:10.1594/PANGAEA.963304	77.81664	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.963304"" target=""_self"" class=""dataset-link""><strong>Schlindwein, V (2023):</strong> Master track of POLARSTERN cruise PS137 in 1 sec resolution (zipped, 147.0 MB)</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Raw data acquired by position sensors on board RV Polarstern during expedition PS137 was processed to receive a validated master track which can be used as reference of further expedition data. During PS137 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.</td></tr><tr><td class=""title"">Size:</td><td class=""content"">147 MBytes</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.963304"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.963304</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 77.82</span></div></li>"	member	1	Master track of POLARSTERN cruise PS137 in 1 sec resolution (zipped, 147.0 MB)	Raw data acquired by position sensors on board RV Polarstern during expedition PS137 was processed to receive a validated master track which can be used as reference of further expedition data. During PS137 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.	2023-11-09T09:34:34		No	Schlindwein, Vera	Schlindwein, Vera	0000-0001-5570-2753	Schlindwein, Vera (2023): Master track of POLARSTERN cruise PS137 in 1 sec resolution (zipped, 147.0 MB) [dataset]. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.963304	https://doi.org/10.1594/PANGAEA.963304	69.678	18.9898	PS137		Underway cruise track measurements
doi:10.1594/PANGAEA.972614	75.487785	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.972614"" target=""_self"" class=""dataset-link""><strong>Wenzhöfer, F (2024):</strong> Master track of POLARSTERN cruise PS143/1 in 1 sec resolution (zipped, 116 MB)</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Raw data acquired by position sensors on board RV Polarstern during expedition PS143/1 was processed to receive a validated master track which can be used as reference of further expedition data. During PS143/1 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track</td></tr><tr><td class=""title"">Size:</td><td class=""content"">116.1 MBytes</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.972614"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.972614</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 75.49</span></div></li>"	member	2	Master track of POLARSTERN cruise PS143/1 in 1 sec resolution (zipped, 116 MB)	Raw data acquired by position sensors on board RV Polarstern during expedition PS143/1 was processed to receive a validated master track which can be used as reference of further expedition data. During PS143/1 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track	2024-09-19T05:50:45		No	Wenzhöfer, Frank	Wenzhöfer, Frank	no ORCID	Wenzhöfer, Frank (2024): Master track of POLARSTERN cruise PS143/1 in 1 sec resolution (zipped, 116 MB) [dataset]. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.972614	https://doi.org/10.1594/PANGAEA.972614	61.622749999999996	13.7723	PS143/1		Underway cruise track measurements
doi:10.1594/PANGAEA.972619	75.096695	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.972619"" target=""_self"" class=""dataset-link""><strong>Metfies, K (2024):</strong> Master tracks in different resolutions of POLARSTERN cruise PS143/2, Tromsø - Tromsø, 2024-07-12 - 2024-08-06</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Raw data acquired by position sensors on board RV Polarstern during expedition PS143/2 was processed to receive a validated master track which can be used as reference of further expedition data. During PS143/2 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.</td></tr><tr><td class=""title"">Size:</td><td class=""content"">7200 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.972619"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.972619</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 75.1</span></div></li>"	member	3	Master tracks in different resolutions of POLARSTERN cruise PS143/2, Tromsø - Tromsø, 2024-07-12 - 2024-08-06	Raw data acquired by position sensors on board RV Polarstern during expedition PS143/2 was processed to receive a validated master track which can be used as reference of further expedition data. During PS143/2 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.	2024-09-19T07:42:19		No	Metfies, Katja	Metfies, Katja	no ORCID	Metfies, Katja (2024): Master tracks in different resolutions of POLARSTERN cruise PS143/2, Tromsø - Tromsø, 2024-07-12 - 2024-08-06 [dataset]. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.972619	https://doi.org/10.1594/PANGAEA.972619	77.88289684852775	5.54187888716666	PS143/2	DATE/TIME; LATITUDE; LONGITUDE; Speed [kn]; Course [deg]	Underway cruise track measurements
doi:10.1594/PANGAEA.963840	74.68344	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.963840"" target=""_self"" class=""dataset-link""><strong>Boetius, A (2023):</strong> Master track of POLARSTERN cruise PS138 in 1 sec resolution (zipped, 222.6 MB)</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Raw data acquired by position sensors on board RV Polarstern during expedition PS138 was processed to receive a validated master track which can be used as reference of further expedition data. During PS138 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.</td></tr><tr><td class=""title"">Size:</td><td class=""content"">222.6 MBytes</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.963840"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.963840</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 74.68</span></div></li>"	member	4	Master track of POLARSTERN cruise PS138 in 1 sec resolution (zipped, 222.6 MB)	Raw data acquired by position sensors on board RV Polarstern during expedition PS138 was processed to receive a validated master track which can be used as reference of further expedition data. During PS138 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.	2023-11-29T12:05:30		No	Boetius, Antje	Boetius, Antje	0000-0003-2117-4176	Boetius, Antje (2023): Master track of POLARSTERN cruise PS138 in 1 sec resolution (zipped, 222.6 MB) [dataset]. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.963840	https://doi.org/10.1594/PANGAEA.963840	61.622749999999996	13.7723	PS138		Underway cruise track measurements
doi:10.1594/PANGAEA.962550	74.14958	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.962550"" target=""_self"" class=""dataset-link""><strong>Soltwedel, T (2023):</strong> Master track of POLARSTERN cruise PS136 in 1 sec resolution (zipped, 101.2 MB)</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Raw data acquired by position sensors on board RV Polarstern during expedition PS136 was processed to receive a validated master track which can be used as reference of further expedition data. During PS136 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.</td></tr><tr><td class=""title"">Size:</td><td class=""content"">101.2 MBytes</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.962550"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.962550</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 74.15</span></div></li>"	member	5	Master track of POLARSTERN cruise PS136 in 1 sec resolution (zipped, 101.2 MB)	Raw data acquired by position sensors on board RV Polarstern during expedition PS136 was processed to receive a validated master track which can be used as reference of further expedition data. During PS136 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.	2023-09-20T10:49:12		No	Soltwedel, Thomas	Soltwedel, Thomas	0000-0002-8214-5937	Soltwedel, Thomas (2023): Master track of POLARSTERN cruise PS136 in 1 sec resolution (zipped, 101.2 MB) [dataset]. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.962550	https://doi.org/10.1594/PANGAEA.962550	61.622749999999996	13.7723	PS136		Underway cruise track measurements
doi:10.1594/PANGAEA.972615	72.63342	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.972615"" target=""_self"" class=""dataset-link""><strong>Wenzhöfer, F (2024):</strong> Master tracks in different resolutions of POLARSTERN cruise PS143/1, Bremerhaven - Tromsø, 2024-06-07 - 2024-07-09</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Raw data acquired by position sensors on board RV Polarstern during expedition PS143/1 was processed to receive a validated master track which can be used as reference of further expedition data. During PS143/1 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track</td></tr><tr><td class=""title"">Size:</td><td class=""content"">9184 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.972615"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.972615</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 72.63</span></div></li>"	member	6	Master tracks in different resolutions of POLARSTERN cruise PS143/1, Bremerhaven - Tromsø, 2024-06-07 - 2024-07-09	Raw data acquired by position sensors on board RV Polarstern during expedition PS143/1 was processed to receive a validated master track which can be used as reference of further expedition data. During PS143/1 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track	2024-09-19T05:54:30		No	Wenzhöfer, Frank	Wenzhöfer, Frank	no ORCID	Wenzhöfer, Frank (2024): Master tracks in different resolutions of POLARSTERN cruise PS143/1, Bremerhaven - Tromsø, 2024-06-07 - 2024-07-09 [dataset]. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.972615	https://doi.org/10.1594/PANGAEA.972615	75.54153431158531	4.633348143205581	PS143/1	DATE/TIME; LATITUDE; LONGITUDE; Speed [kn]; Course [deg]	Underway cruise track measurements
doi:10.1594/PANGAEA.974028	72.40699	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.974028"" target=""_self"" class=""dataset-link""><strong>Rabe, B; Geibert, W (2024):</strong> Master track of POLARSTERN cruise PS144 in 1 sec resolution (zipped, 243 MB)</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Raw data acquired by position sensors on board RV Polarstern during expedition PS144 was processed to receive a validated master track which can be used as reference of further expedition data. During PS144 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.</td></tr><tr><td class=""title"">Size:</td><td class=""content"">243.4 MBytes</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.974028"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.974028</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 72.41</span></div></li>"	member	7	Master track of POLARSTERN cruise PS144 in 1 sec resolution (zipped, 243 MB)	Raw data acquired by position sensors on board RV Polarstern during expedition PS144 was processed to receive a validated master track which can be used as reference of further expedition data. During PS144 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.	2024-12-06T08:29:55		No	Rabe, Benjamin	Rabe, Benjamin; Geibert, Walter	0000-0001-5794-9856; 0000-0001-8646-2334	Rabe, Benjamin; Geibert, Walter (2024): Master track of POLARSTERN cruise PS144 in 1 sec resolution (zipped, 243 MB) [dataset]. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.974028	https://doi.org/10.1594/PANGAEA.974028	61.622749999999996	13.7723	PS144		Underway cruise track measurements
doi:10.1594/PANGAEA.963315	70.65184	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.963315"" target=""_self"" class=""dataset-link""><strong>Schlindwein, V (2023):</strong> Master tracks in different resolutions of POLARSTERN cruise PS137, Tromsø - Tromsø, 2023-06-21 - 2023-07-31</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Raw data acquired by position sensors on board RV Polarstern during expedition PS137 was processed to receive a validated master track which can be used as reference of further expedition data. During PS137 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.</td></tr><tr><td class=""title"">Size:</td><td class=""content"">11454 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.963315"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.963315</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 70.65</span></div></li>"	member	8	Master tracks in different resolutions of POLARSTERN cruise PS137, Tromsø - Tromsø, 2023-06-21 - 2023-07-31	Raw data acquired by position sensors on board RV Polarstern during expedition PS137 was processed to receive a validated master track which can be used as reference of further expedition data. During PS137 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.	2023-11-09T12:20:28		No	Schlindwein, Vera	Schlindwein, Vera	0000-0001-5570-2753	Schlindwein, Vera (2023): Master tracks in different resolutions of POLARSTERN cruise PS137, Tromsø - Tromsø, 2023-06-21 - 2023-07-31 [dataset]. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.963315	https://doi.org/10.1594/PANGAEA.963315	81.22734729247429	-0.7705645493277513	PS137	DATE/TIME; LATITUDE; LONGITUDE; Speed [kn]; Course [deg]	Underway cruise track measurements
doi:10.1594/PANGAEA.963843	67.61503	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.963843"" target=""_self"" class=""dataset-link""><strong>Boetius, A (2023):</strong> Master tracks in different resolutions of POLARSTERN cruise PS138, Tromsø - Bremerhaven, 2023-08-02 - 2023-10-01</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Raw data acquired by position sensors on board RV Polarstern during expedition PS138 was processed to receive a validated master track which can be used as reference of further expedition data. During PS138 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.</td></tr><tr><td class=""title"">Size:</td><td class=""content"">17214 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.963843"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.963843</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 67.62</span></div></li>"	member	9	Master tracks in different resolutions of POLARSTERN cruise PS138, Tromsø - Bremerhaven, 2023-08-02 - 2023-10-01	Raw data acquired by position sensors on board RV Polarstern during expedition PS138 was processed to receive a validated master track which can be used as reference of further expedition data. During PS138 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.	2023-11-29T12:31:35		No	Boetius, Antje	Boetius, Antje	0000-0003-2117-4176	Boetius, Antje (2023): Master tracks in different resolutions of POLARSTERN cruise PS138, Tromsø - Bremerhaven, 2023-08-02 - 2023-10-01 [dataset]. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.963843	https://doi.org/10.1594/PANGAEA.963843	82.39544776035817	62.89244588941553	PS138	DATE/TIME; LATITUDE; LONGITUDE; Speed [kn]; Course [deg]	Underway cruise track measurements
