URI	score	html	type	position
doi:10.1594/PANGAEA.972617	85.90522	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.972617"" target=""_self"" class=""dataset-link""><strong>Metfies, K (2024):</strong> Master track of POLARSTERN cruise PS143/2 in 1 sec resolution (zipped, 92 MB)</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Raw data acquired by position sensors on board RV Polarstern during expedition PS143/2 was processed to receive a validated master track which can be used as reference of further expedition data. During PS143/2 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.</td></tr><tr><td class=""title"">Size:</td><td class=""content"">91.5 MBytes</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.972617"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.972617</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 85.91</span></div></li>"	member	0
doi:10.1594/PANGAEA.963304	77.81664	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.963304"" target=""_self"" class=""dataset-link""><strong>Schlindwein, V (2023):</strong> Master track of POLARSTERN cruise PS137 in 1 sec resolution (zipped, 147.0 MB)</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Raw data acquired by position sensors on board RV Polarstern during expedition PS137 was processed to receive a validated master track which can be used as reference of further expedition data. During PS137 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.</td></tr><tr><td class=""title"">Size:</td><td class=""content"">147 MBytes</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.963304"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.963304</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 77.82</span></div></li>"	member	1
doi:10.1594/PANGAEA.972614	75.487785	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.972614"" target=""_self"" class=""dataset-link""><strong>Wenzhöfer, F (2024):</strong> Master track of POLARSTERN cruise PS143/1 in 1 sec resolution (zipped, 116 MB)</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Raw data acquired by position sensors on board RV Polarstern during expedition PS143/1 was processed to receive a validated master track which can be used as reference of further expedition data. During PS143/1 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track</td></tr><tr><td class=""title"">Size:</td><td class=""content"">116.1 MBytes</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.972614"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.972614</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 75.49</span></div></li>"	member	2
doi:10.1594/PANGAEA.972619	75.096695	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.972619"" target=""_self"" class=""dataset-link""><strong>Metfies, K (2024):</strong> Master tracks in different resolutions of POLARSTERN cruise PS143/2, Tromsø - Tromsø, 2024-07-12 - 2024-08-06</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Raw data acquired by position sensors on board RV Polarstern during expedition PS143/2 was processed to receive a validated master track which can be used as reference of further expedition data. During PS143/2 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.</td></tr><tr><td class=""title"">Size:</td><td class=""content"">7200 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.972619"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.972619</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 75.1</span></div></li>"	member	3
doi:10.1594/PANGAEA.963840	74.68344	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.963840"" target=""_self"" class=""dataset-link""><strong>Boetius, A (2023):</strong> Master track of POLARSTERN cruise PS138 in 1 sec resolution (zipped, 222.6 MB)</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Raw data acquired by position sensors on board RV Polarstern during expedition PS138 was processed to receive a validated master track which can be used as reference of further expedition data. During PS138 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.</td></tr><tr><td class=""title"">Size:</td><td class=""content"">222.6 MBytes</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.963840"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.963840</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 74.68</span></div></li>"	member	4
doi:10.1594/PANGAEA.962550	74.14958	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.962550"" target=""_self"" class=""dataset-link""><strong>Soltwedel, T (2023):</strong> Master track of POLARSTERN cruise PS136 in 1 sec resolution (zipped, 101.2 MB)</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Raw data acquired by position sensors on board RV Polarstern during expedition PS136 was processed to receive a validated master track which can be used as reference of further expedition data. During PS136 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.</td></tr><tr><td class=""title"">Size:</td><td class=""content"">101.2 MBytes</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.962550"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.962550</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 74.15</span></div></li>"	member	5
doi:10.1594/PANGAEA.972615	72.63342	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.972615"" target=""_self"" class=""dataset-link""><strong>Wenzhöfer, F (2024):</strong> Master tracks in different resolutions of POLARSTERN cruise PS143/1, Bremerhaven - Tromsø, 2024-06-07 - 2024-07-09</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Raw data acquired by position sensors on board RV Polarstern during expedition PS143/1 was processed to receive a validated master track which can be used as reference of further expedition data. During PS143/1 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track</td></tr><tr><td class=""title"">Size:</td><td class=""content"">9184 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.972615"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.972615</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 72.63</span></div></li>"	member	6
doi:10.1594/PANGAEA.974028	72.40699	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.974028"" target=""_self"" class=""dataset-link""><strong>Rabe, B; Geibert, W (2024):</strong> Master track of POLARSTERN cruise PS144 in 1 sec resolution (zipped, 243 MB)</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Raw data acquired by position sensors on board RV Polarstern during expedition PS144 was processed to receive a validated master track which can be used as reference of further expedition data. During PS144 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.</td></tr><tr><td class=""title"">Size:</td><td class=""content"">243.4 MBytes</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.974028"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.974028</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 72.41</span></div></li>"	member	7
doi:10.1594/PANGAEA.963315	70.65184	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.963315"" target=""_self"" class=""dataset-link""><strong>Schlindwein, V (2023):</strong> Master tracks in different resolutions of POLARSTERN cruise PS137, Tromsø - Tromsø, 2023-06-21 - 2023-07-31</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Raw data acquired by position sensors on board RV Polarstern during expedition PS137 was processed to receive a validated master track which can be used as reference of further expedition data. During PS137 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.</td></tr><tr><td class=""title"">Size:</td><td class=""content"">11454 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.963315"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.963315</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 70.65</span></div></li>"	member	8
doi:10.1594/PANGAEA.963843	67.61503	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.963843"" target=""_self"" class=""dataset-link""><strong>Boetius, A (2023):</strong> Master tracks in different resolutions of POLARSTERN cruise PS138, Tromsø - Bremerhaven, 2023-08-02 - 2023-10-01</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Raw data acquired by position sensors on board RV Polarstern during expedition PS138 was processed to receive a validated master track which can be used as reference of further expedition data. During PS138 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.</td></tr><tr><td class=""title"">Size:</td><td class=""content"">17214 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.963843"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.963843</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 67.62</span></div></li>"	member	9
