DATE/TIME	LATITUDE	LONGITUDE	Whale species	Individuals [#]	Event	Year
2018-08-06 02:05:00	71.13038	16.85015	Orcinus orca	4.0	PS115/1-track	2018
2017-05-25 17:22:00	58.1091	4.45383	Orcinus orca	5.0	PS106/1-track	2017
2016-06-17 19:57:00	69.68787	9.94335	Orcinus orca	10.0	PS99.1-track	2016
2015-05-21 03:19:00	59.51962	3.43712	Orcinus orca	5.0	PS92-track	2015
2015-05-24 15:12:00	70.2437	13.72962	Orcinus orca	5.0	PS92-track	2015
2015-05-25 03:28:00	72.2516	12.8803	Orcinus orca	4.0	PS92-track	2015
2014-09-30 08:23:00	78.66195	61.78372	Orcinus orca	1.0	PS87-track	2014
2014-07-08 08:43:00	72.64378	17.75687	Orcinus orca	5.0	PS86-track	2014
2014-06-09 05:09:00	62.89828	2.635	Orcinus orca	3.0	PS85-track	2014
2014-06-09 05:44:00	62.9972	2.60218	Orcinus orca	4.0	PS85-track	2014
2014-06-09 16:03:00	64.69255	1.20898	Orcinus orca	5.0	PS85-track	2014
2014-06-10 13:22:00	67.79302	0.66825	Orcinus orca	10.0	PS85-track	2014
2014-07-02 12:45:00	71.48277	15.5768	Orcinus orca	5.0	PS85-track	2014
2007-06-07 07:25:00	68.9895	13.9824	Orcinus orca	3.0	PS70/1a-track	2007
2007-06-08 01:45:00	69.08278	13.95012	Orcinus orca	6.0	PS70/1a-track	2007
2007-06-08 20:28:00	67.5567	9.57492	Orcinus orca	6.0	PS70/1a-track	2007
2007-06-16 00:11:00	67.86102	8.58533	Orcinus orca	2.0	PS70/1a-track	2007
2007-06-16 05:30:00	67.60802	9.27895	Orcinus orca	6.0	PS70/1a-track	2007
2012-06-17 03:49:05	64.9886	5.36265	Orcinus orca	3.0	PS80/1-track	2012
2012-06-17 04:56:47	65.09357	5.41838	Orcinus orca	5.0	PS80/1-track	2012
2012-06-17 05:07:34	65.12758	5.43778	Orcinus orca	10.0	PS80/1-track	2012
2012-06-17 10:01:44	66.04568	5.96108	Orcinus orca	3.0	PS80/1-track	2012
2012-06-17 20:58:29	67.93298	6.81398	Orcinus orca	20.0	PS80/1-track	2012
2023-06-17 14:36:37	76.30592	9.68386	Orcinus orca	5.0	PS136-track	2023
2023-06-18 19:26:12	71.22067	18.73602	Orcinus orca	3.0	PS136-track	2023
2024-06-11 20:10:44	68.5247	3.69222	Orcinus orca	1.0	PS143/1-track	2024
2024-06-14 03:14:13	78.06698	5.05173	Orcinus orca	4.0	PS143/1-track	2024
