URI	score	html	type	position
doi:10.1594/PANGAEA.924703	19.889349	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.924703"" target=""_self"" class=""dataset-link""><strong>Burkhardt, E (2020):</strong> Whale sightings during POLARSTERN cruise PS99.1 (ARK-XXX/1.1)</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Data on whale distribution and abundance in the polar oceans is rather sparse, as implementing the standard surveying method, line-transect surveys, is challenging and costly. To overcome this problem, we initiated a program to electronically log all opportunistic cetacean sightings during all Polarstern expeditions through the nautical officer on watch. Opportunistic (visual) sightings by naked eye were logged during Polarstern Cruise PS99.1 (Bremerhaven - Longyearbyen) by the nautical officer on duty using a customized Software package (WALOG, WhAleLOGger) installed on a touch screen laptop located on the ship's bridge. Species were identified by naked eye or handheld binoculars (7x50) to the lowest possible taxonomical level and assigned a “certainty” level of identification. The number of animals were counted if possible or estimated for larger groups. Whenever identification to species level was not possible, the next identifiable taxonomical category was assigned. […]</td></tr><tr><td class=""title"">Size:</td><td class=""content"">75 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.924703"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.924703</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 19.89</span></div></li>"	member	0
doi:10.1594/PANGAEA.982407	19.55639	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.982407"" target=""_self"" class=""dataset-link""><strong>Burkhardt, E (2025):</strong> Whale sightings during POLARSTERN cruise PS143/1</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Data on whale distribution and abundance in the polar oceans is rather sparse, as implementing the standard surveying method, line-transect surveys, is challenging and costly. To overcome this problem, we initiated a program to electronically log all opportunistic cetacean sightings during all Polarstern expeditions through the nautical officer on watch. Opportunistic (visual) sightings by naked eye were logged during Polarstern Cruise PS143/1 (Bremerhaven – Tromsø) by the nautical officer on duty using a customized Software package (WALOG, WhAleLOGger) installed on a touch screen laptop located on the ship's bridge. Species were identified by naked eye or handheld binoculars (7x50) to the lowest possible taxonomical level and assigned a ""certainty"" level of identification. The number of animals were counted if possible or estimated for larger groups. Whenever identification to species level was not possible, the next identifiable taxonomical category was assigned. […]</td></tr><tr><td class=""title"">Size:</td><td class=""content"">132 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.982407"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.982407</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 19.56</span></div></li>"	member	1
doi:10.1594/PANGAEA.924707	19.045376	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.924707"" target=""_self"" class=""dataset-link""><strong>Burkhardt, E (2020):</strong> Whale sightings during POLARSTERN cruise PS92 (ARK-XXIX/1)</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Data on whale distribution and abundance in the polar oceans is rather sparse, as implementing the standard surveying method, line-transect surveys, is challenging and costly. To overcome this problem, we initiated a program to electronically log all opportunistic cetacean sightings during all Polarstern expeditions through the nautical officer on watch. Opportunistic (visual) sightings by naked eye were logged during Polarstern Cruise PS92 (Bremerhaven - Longyearbyen) by the nautical officer on duty using a customized Software package (WALOG, WhAleLOGger) installed on a touch screen laptop located on the ship's bridge. Species were identified by naked eye or handheld binoculars (7x50) to the lowest possible taxonomical level and assigned a “certainty” level of identification. The number of animals were counted if possible or estimated for larger groups. Whenever identification to species level was not possible, the next identifiable taxonomical category was assigned. […]</td></tr><tr><td class=""title"">Size:</td><td class=""content"">144 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.924707"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.924707</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 19.05</span></div></li>"	member	2
doi:10.1594/PANGAEA.924698	19.036436	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.924698"" target=""_self"" class=""dataset-link""><strong>Burkhardt, E (2020):</strong> Whale sightings during POLARSTERN cruise PS106/1 (ARK-XXXI/1.1)</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Data on whale distribution and abundance in the polar oceans is rather sparse, as implementing the standard surveying method, line-transect surveys, is challenging and costly. To overcome this problem, we initiated a program to electronically log all opportunistic cetacean sightings during all Polarstern expeditions through the nautical officer on watch. Opportunistic (visual) sightings by naked eye were logged during Polarstern Cruise PS106/1 (Bremerhaven - Longyearbyen) by the nautical officer on duty using a customized Software package (WALOG, WhAleLOGger) installed on a touch screen laptop located on the ship's bridge. Species were identified by naked eye or handheld binoculars (7x50) to the lowest possible taxonomical level and assigned a “certainty” level of identification. The number of animals were counted if possible or estimated for larger groups. Whenever identification to species level was not possible, the next identifiable taxonomical category was assigned. […]</td></tr><tr><td class=""title"">Size:</td><td class=""content"">57 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.924698"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.924698</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 19.04</span></div></li>"	member	3
doi:10.1594/PANGAEA.924709	18.702322	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.924709"" target=""_self"" class=""dataset-link""><strong>Burkhardt, E (2020):</strong> Whale sightings during POLARSTERN cruise PS86 (ARK-XXVIII/3)</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Data on whale distribution and abundance in the polar oceans is rather sparse, as implementing the standard surveying method, line-transect surveys, is challenging and costly. To overcome this problem, we initiated a program to electronically log all opportunistic cetacean sightings during all Polarstern expeditions through the nautical officer on watch. Opportunistic (visual) sightings by naked eye were logged during Polarstern Cruise PS86 (Tromsø - Tromsø) by the nautical officer on duty using a customized Software package (WALOG, WhAleLOGger) installed on a touch screen laptop located on the ship's bridge. Species were identified by naked eye or handheld binoculars (7x50) to the lowest possible taxonomical level and assigned a “certainty” level of identification. The number of animals were counted if possible or estimated for larger groups. Whenever identification to species level was not possible, the next identifiable taxonomical category was assigned. […]</td></tr><tr><td class=""title"">Size:</td><td class=""content"">45 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.924709"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.924709</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 18.7</span></div></li>"	member	4
doi:10.1594/PANGAEA.924710	18.675398	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.924710"" target=""_self"" class=""dataset-link""><strong>Burkhardt, E (2020):</strong> Whale sightings during POLARSTERN cruise PS85 (ARK-XXVIII/2)</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Data on whale distribution and abundance in the polar oceans is rather sparse, as implementing the standard surveying method, line-transect surveys, is challenging and costly. To overcome this problem, we initiated a program to electronically log all opportunistic cetacean sightings during all Polarstern expeditions through the nautical officer on watch. Opportunistic (visual) sightings by naked eye were logged during Polarstern Cruise PS85 (Bremerhaven - Tromsø) by the nautical officer on duty using a customized Software package (WALOG, WhAleLOGger) installed on a touch screen laptop located on the ship's bridge. Species were identified by naked eye or handheld binoculars (7x50) to the lowest possible taxonomical level and assigned a “certainty” level of identification. The number of animals were counted if possible or estimated for larger groups. Whenever identification to species level was not possible, the next identifiable taxonomical category was assigned. […]</td></tr><tr><td class=""title"">Size:</td><td class=""content"">63 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.924710"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.924710</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 18.68</span></div></li>"	member	5
doi:10.1594/PANGAEA.924582	18.653782	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.924582"" target=""_self"" class=""dataset-link""><strong>Burkhardt, E (2020):</strong> Whale sightings during POLARSTERN cruise PS115/1</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Data on whale distribution and abundance in the polar oceans is rather sparse, as implementing the standard surveying method, line-transect surveys, is challenging and costly. To overcome this problem, we initiated a program to electronically log all opportunistic cetacean sightings during all Polarstern expeditions through the nautical officer on watch. Opportunistic (visual) sightings by naked eye were logged during Polarstern Cruise PS115/1 (Tromsø - Longyearbyen) by the nautical officer on duty using a customized Software package (WALOG, WhAleLOGger) installed on a touch screen laptop located on the ship's bridge. Species were identified by naked eye or handheld binoculars (7x50) to the lowest possible taxonomical level and assigned a “certainty” level of identification. The number of animals were counted if possible or estimated for larger groups. Whenever identification to species level was not possible, the next identifiable taxonomical category was assigned. […]</td></tr><tr><td class=""title"">Size:</td><td class=""content"">30 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.924582"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.924582</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 18.65</span></div></li>"	member	6
doi:10.1594/PANGAEA.972704	18.62585	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.972704"" target=""_self"" class=""dataset-link""><strong>Burkhardt, E (2024):</strong> Whale sightings during POLARSTERN cruise PS136</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Data on whale distribution and abundance in the polar oceans is rather sparse, as implementing the standard surveying method, line-transect surveys, is challenging and costly. To overcome this problem, we initiated a program to electronically log all opportunistic cetacean sightings during all Polarstern expeditions through the nautical officer on watch. Opportunistic (visual) sightings by naked eye were logged during Polarstern Cruise PS136 (Bremerhaven – Tromsø) by the nautical officer on duty using a customized Software package (WALOG, WhAleLOGger) installed on a touch screen laptop located on the ship's bridge.  Species were identified by naked eye or handheld binoculars (7x50) to the lowest possible taxonomical level and assigned a ""certainty"" level of identification. The number of animals were counted if possible or estimated for larger groups. Whenever identification to species level was not possible, the next identifiable taxonomical category was assigned. […]</td></tr><tr><td class=""title"">Size:</td><td class=""content"">48 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.972704"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.972704</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 18.63</span></div></li>"	member	7
doi:10.1594/PANGAEA.929094	18.60613	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.929094"" target=""_self"" class=""dataset-link""><strong>Burkhardt, E (2021):</strong> Whale sightings during POLARSTERN cruise ARK-XXVII/1 (PS80/1)</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Data on whale distribution and abundance in the polar oceans is rather sparse, as implementing the standard surveying method, line-transect surveys, is challenging and costly. To overcome this problem, we initiated a program to electronically log all opportunistic cetacean sightings during all Polarstern expeditions through the nautical officer on watch. Opportunistic (visual) sightings by naked eye were logged during Polarstern Cruise ARK-XXVII/1 (Bremerhaven - Longyearbyen) by the nautical officer on duty using a customized Software package (WALOG, WhAleLOGger) installed on a touch screen laptop located on the ship's bridge. Species were identified by naked eye or handheld binoculars (7x50) to the lowest possible taxonomical level and assigned a “certainty” level of identification. The number of animals were counted if possible or estimated for larger groups. Whenever identification to species level was not possible, the next identifiable taxonomical category was assigned. […]</td></tr><tr><td class=""title"">Size:</td><td class=""content"">155 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.929094"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.929094</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 18.61</span></div></li>"	member	8
doi:10.1594/PANGAEA.924708	18.556145	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.924708"" target=""_self"" class=""dataset-link""><strong>Burkhardt, E (2020):</strong> Whale sightings during POLARSTERN cruise PS87 (ARK-XXVIII/4)</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Data on whale distribution and abundance in the polar oceans is rather sparse, as implementing the standard surveying method, line-transect surveys, is challenging and costly. To overcome this problem, we initiated a program to electronically log all opportunistic cetacean sightings during all Polarstern expeditions through the nautical officer on watch. Opportunistic (visual) sightings by naked eye were logged during Polarstern Cruise PS87 (Tromsø - Bremerhaven) by the nautical officer on duty using a customized Software package (WALOG, WhAleLOGger) installed on a touch screen laptop located on the ship's bridge. Species were identified by naked eye or handheld binoculars (7x50) to the lowest possible taxonomical level and assigned a “certainty” level of identification. The number of animals were counted if possible or estimated for larger groups. Whenever identification to species level was not possible, the next identifiable taxonomical category was assigned. […]</td></tr><tr><td class=""title"">Size:</td><td class=""content"">24 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.924708"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.924708</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 18.56</span></div></li>"	member	9
